model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 Kuga,2018,Semi-Auto,12323,Diesel,145,42.2,2.0,17915
 Ka+,2017,Manual,11616,Petrol,145,58.5,1.2,8926
 Focus,2018,Manual,16515,Petrol,145,62.1,1.0,17485
 Fiesta,2018,Manual,11725,Petrol,145,52.2,1.0,9956
 Fiesta,2018,Manual,19268,Petrol,29,67.2,1.2,7455
 Mustang,2020,Automatic,3630,Petrol,145,46.2,2.7,31407
 B-MAX,2018,Manual,4891,Petrol,145,54.0,1.0,16232
 Fiesta,2015,Manual,18644,Diesel,0,64.6,1.5,9917
 Focus,2015,Manual,50120,Diesel,1,67.2,2.0,7438
 Mondeo,2016,Automatic,21205,Electric,3,67.9,2.0,13711
 C-MAX,2016,Manual,28326,Diesel,19,66.5,1.5,7930
 Focus,2018,Automatic,7005,Diesel,250,47.4,2.0,4644
 Fiesta,2013,Manual,74878,Petrol,150,48.7,1.6,3085
 S-MAX,2019,Semi-Auto,5655,Diesel,144,35.2,1.5,27324
 Kuga,2018,Manual,22841,Diesel,145,54.1,2.0,16029
 Kuga,2017,Semi-Auto,20658,Diesel,146,47.0,2.0,14882
 Mondeo,2015,Automatic,37564,Hybrid,0,67.4,2.0,13291
 Kuga,2018,Automatic,15542,Petrol,145,57.5,1.5,13245
 Mondeo,2014,Manual,57824,Diesel,151,55.0,2.0,15459
 Kuga,2018,Semi-Auto,76938,Diesel,249,41.7,2.0,12629
 Mondeo,2016,Manual,25108,Diesel,29,64.0,2.0,12260
 Mondeo,2016,Automatic,18515,Electric,2,67.6,2.0,11813
 C-MAX,2015,Manual,30727,Diesel,19,68.5,1.5,7419
 C-MAX,2017,Automatic,13036,Petrol,145,42.4,1.5,12501
 Kuga,2017,Semi-Auto,28605,Diesel,145,53.7,2.0,16275
 Fiesta,2019,Manual,12698,Petrol,145,63.6,1.0,15424
 Mustang,2019,Manual,1912,Petrol,145,30.1,2.7,38350
 Focus,2017,Automatic,31254,Diesel,1,75.4,1.5,10790
 Galaxy,2016,Automatic,35793,Diesel,126,55.9,2.0,16893
 EcoSport,2016,Semi-Auto,12079,Petrol,125,58.1,1.2,11969
 KA,2014,Manual,47803,Petrol,28,53.3,1.2,2317
 Kuga,2019,Automatic,3772,Diesel,154,33.8,1.5,17109
 Fiesta,2013,Automatic,116472,Petrol,22,54.6,1.6,7084
 Fiesta,2018,Manual,29753,Petrol,145,65.6,1.0,12162
 Fiesta,2017,Manual,22213,Petrol,152,61.5,1.0,14528
 C-MAX,2017,Manual,39722,Diesel,145,66.5,1.5,11972
 C-MAX,2019,Manual,8017,Petrol,146,57.5,1.0,14684
 B-MAX,2017,Automatic,8176,Petrol,158,60.3,1.6,6550
 Edge,2018,Semi-Auto,21899,Diesel,146,47.5,2.0,35670
 Focus,2017,Automatic,16574,Diesel,0,73.9,1.5,12283
 S-MAX,2018,Semi-Auto,34123,Diesel,146,57.4,2.0,15152
 Focus,2014,Manual,34306,Petrol,23,59.5,1.0,7698
 Kuga,2019,Semi-Auto,2275,Diesel,145,39.3,2.0,29568
 Edge,2018,Semi-Auto,839,Diesel,145,50.3,2.0,17367
 Focus,2018,Manual,5216,Petrol,152,59.2,1.0,14026
 Puma,2019,Manual,1,Petrol,144,51.8,1.0,27222
 Puma,2019,Manual,1590,Petrol,144,64.3,1.0,10836
 Fiesta,2018,Manual,11933,Petrol,145,62.4,1.5,9293
 Kuga,2019,Semi-Auto,2222,Diesel,144,43.0,2.0,19646
 Fiesta,2015,Semi-Auto,7457,Diesel,145,38.4,2.0,29051
 Fiesta,2016,Manual,27672,Petrol,145,65.2,1.2,12407
 C-MAX,2016,Manual,78960,Diesel,3,89.7,1.5,7149
 Kuga,2019,Automatic,1322,Hybrid,144,60.5,2.0,21909
 Kuga,2019,Manual,9350,Petrol,145,41.3,2.0,17729
 Fiesta,2018,Manual,33148,Petrol,149,57.8,1.2,10366
 Focus,2017,Manual,12767,Diesel,0,74.0,1.5,13033
 Fiesta,2018,Manual,16983,Petrol,145,59.7,1.0,11205
 Kuga,2018,Automatic,21440,Petrol,145,33.6,1.5,4034
 Focus,2017,Manual,26962,Petrol,125,61.6,1.0,9351
 C-MAX,2018,Manual,23332,Petrol,146,57.4,1.0,13407
 Mondeo,2019,Manual,3254,Petrol,146,58.5,1.5,17144
 Galaxy,2018,Manual,4972,Petrol,144,54.4,1.0,16782
 Fiesta,2018,Manual,3666,Petrol,145,58.0,1.0,9223
 Kuga,2018,Semi-Auto,11006,Diesel,145,29.2,2.0,24513
 B-MAX,2019,Manual,1,Petrol,154,44.9,1.4,16513
 Focus,2015,Manual,96846,Diesel,25,92.5,1.6,7945
 KA,2014,Manual,18189,Petrol,28,58.9,1.2,1794
 Ka+,2017,Manual,18824,Petrol,146,55.6,1.2,14172
 S-MAX,2017,Semi-Auto,30881,Diesel,145,58.6,2.0,19444
 Fiesta,2017,Automatic,52685,Petrol,243,38.6,1.5,7182
 Galaxy,2016,Semi-Auto,15294,Diesel,154,56.6,2.0,18250
 B-MAX,2010,Manual,83699,Petrol,208,43.7,1.4,1499
 Focus,2009,Automatic,81229,Petrol,235,42.3,1.6,9510
 Kuga,2018,Automatic,22049,Diesel,145,60.4,2.0,14486
 S-MAX,2016,Semi-Auto,26290,Diesel,127,58.3,2.0,14809
 Fiesta,2017,Manual,26518,Petrol,144,67.4,1.0,10103
 Fiesta,2017,Manual,29177,Petrol,153,64.4,1.5,8423
 Mondeo,2019,Semi-Auto,7885,Hybrid,141,48.1,2.0,19233
 Focus,2015,Manual,96651,Diesel,0,77.0,1.5,7935
 Mondeo,2013,Automatic,64638,Diesel,22,66.0,2.0,7752
 Puma,2021,Automatic,1765,Petrol,145,49.9,1.5,16599
 Mondeo,2015,Semi-Auto,46645,Diesel,126,60.2,2.0,16418
 Fiesta,2015,Manual,32474,Petrol,145,68.3,1.0,7983
 Fiesta,2015,Manual,34556,Petrol,30,55.2,1.0,7968
 Tourneo Custom,2018,Automatic,2762,Diesel,145,23.8,2.0,32646
 Mondeo,2016,Semi-Auto,26157,Diesel,127,60.4,2.0,17833
 Mustang,2018,Manual,3649,Petrol,145,58.2,1.0,17333
 EcoSport,2018,Semi-Auto,28532,Petrol,150,53.0,1.0,10792
 Kuga,2018,Manual,32290,Diesel,145,74.6,1.5,17321
 Fiesta,2016,Manual,18654,Petrol,145,64.3,1.2,11950
 Kuga,2018,Semi-Auto,16171,Diesel,146,53.9,2.0,15019
 Mondeo,2017,Manual,22344,Petrol,146,48.8,1.0,15958
 Fiesta,2015,Manual,12075,Petrol,146,47.6,1.2,7981
 Mustang,2019,Manual,1267,Petrol,145,64.8,2.0,20878
 Fiesta,2016,Manual,23937,Petrol,0,65.8,1.0,7885
 Kuga,2018,Semi-Auto,47463,Diesel,146,49.1,2.0,15477
 Mondeo,2020,Manual,6338,Diesel,144,47.8,2.0,17935
 Focus,2018,Automatic,3488,Petrol,145,66.3,1.0,16610
 Kuga,2019,Automatic,5325,Petrol,145,57.0,1.5,14225
 C-MAX,2016,Manual,39209,Diesel,19,66.2,1.5,8714
 C-MAX,2017,Automatic,21715,Diesel,29,61.0,1.5,11911
 Mondeo,2016,Automatic,38734,Diesel,22,58.8,2.0,9557
 Tourneo Connect,2017,Manual,35173,Diesel,145,65.6,1.5,13773
 Focus,2019,Manual,25731,Petrol,152,51.0,1.0,17668
 EcoSport,2017,Automatic,11336,Petrol,152,35.2,1.5,14215
 Puma,2019,Manual,2652,Petrol,144,52.1,1.0,18058
 Fiesta,2015,Automatic,18129,Diesel,241,59.8,1.5,11574
 EcoSport,2018,Automatic,9707,Petrol,150,41.3,1.5,15218
 Ka+,2018,Manual,6902,Petrol,144,58.9,1.2,7662
 Kuga,2019,Automatic,3561,Diesel,145,54.8,2.0,18312
 Mondeo,2014,Automatic,93559,Diesel,1,65.6,2.0,7247
 Fiesta,2018,Semi-Auto,18788,Diesel,145,53.0,2.0,14806
 EcoSport,2018,Automatic,14414,Petrol,144,52.8,1.0,13731
 Tourneo Connect,2018,Manual,11048,Petrol,146,51.4,1.5,10191
 Fiesta,2016,Semi-Auto,20428,Petrol,126,57.4,1.0,9392
 Grand C-MAX,2017,Automatic,27158,Diesel,31,63.4,1.5,11237
 Focus,2019,Manual,48844,Diesel,149,44.6,1.5,15826
 Fiesta,2015,Manual,23492,Diesel,2,66.5,1.5,8404
 Mondeo,2019,Automatic,11064,Hybrid,144,51.1,2.0,27357
 EcoSport,2019,Manual,6699,Petrol,145,47.9,1.5,23259
 S-MAX,2016,Semi-Auto,29817,Diesel,146,56.3,2.0,14308
 Kuga,2017,Automatic,8974,Petrol,145,54.0,1.0,17216
 EcoSport,2019,Automatic,4409,Petrol,145,37.5,1.0,22973
 Focus,2017,Manual,9224,Petrol,0,53.5,1.0,10677
 Focus,2015,Manual,18738,Diesel,145,65.0,1.5,13652
 Ka+,2016,Manual,39581,Petrol,126,56.6,1.2,9589
 Kuga,2010,Automatic,14934,Petrol,155,43.6,1.6,10311
 Fiesta,2017,Manual,23454,Petrol,125,59.3,1.0,12386
 Escort,2004,Manual,12492,Petrol,262,54.5,2.0,1863
 Mondeo,2013,Automatic,44503,Diesel,22,75.7,1.5,8235
 Kuga,2010,Automatic,9534,Diesel,240,38.5,1.5,16955
Focus,2017,Manual,27514,Diesel,124,57.3,1.0,10295
 Kuga,2018,Manual,9636,Petrol,145,47.8,2.0,12430
 Fiesta,2018,Manual,9391,Petrol,145,58.8,1.0,9405
 Focus,2019,Manual,3247,Petrol,145,58.3,1.0,10348
 Focus,2019,Manual,3321,Petrol,145,59.1,1.0,10531
 Kuga,2018,Semi-Auto,5143,Petrol,145,53.7,2.0,23419
 Fusion,2009,Manual,18522,Petrol,33,36.9,1.4,1942
 Mondeo,2015,Automatic,17629,Hybrid,146,67.0,2.0,16635
 Fiesta,2017,Manual,30732,Petrol,145,65.6,1.2,15578
 Focus,2015,Manual,44058,Diesel,0,76.2,1.5,9473
 Fiesta,2018,Manual,13612,Petrol,145,50.5,1.0,10769
 Focus,2016,Automatic,38693,Petrol,144,59.7,1.0,13281
 Kuga,2016,Semi-Auto,24392,Diesel,126,54.4,2.0,16974
 Tourneo Custom,2018,Manual,25192,Diesel,145,65.5,1.5,14557
 Grand Tourneo Connect,2019,Manual,3958,Diesel,145,62.8,1.5,22079
 Focus,2015,Manual,31714,Diesel,21,66.8,1.5,8108
 Focus,2019,Automatic,5408,Petrol,150,52.3,1.0,16901
 Mondeo,2019,Automatic,1,Hybrid,144,47.7,2.0,28384
 Focus,2018,Manual,5545,Petrol,145,57.7,1.0,14695
 Kuga,2018,Manual,18982,Diesel,145,53.8,2.0,18188
 Focus,2019,Automatic,5908,Petrol,151,43.7,1.5,19419
 B-MAX,2005,Manual,1448,Petrol,155,34.8,1.5,2866
 Focus,2019,Manual,14273,Petrol,144,59.7,1.0,15565
 Mondeo,2015,Manual,75700,Diesel,208,61.8,2.0,3412
 Galaxy,2017,Automatic,33828,Diesel,203,58.4,2.0,16322
 Kuga,2019,Automatic,3630,Diesel,238,37.3,1.5,17380
 Fiesta,2018,Automatic,17223,Petrol,151,65.6,1.5,10517
 Kuga,2016,Automatic,27021,Petrol,126,61.2,1.6,6519
 C-MAX,2013,Manual,87986,Diesel,31,34.5,1.6,6532
 Fiesta,2015,Manual,30676,Petrol,33,35.5,1.6,6518
 S-MAX,2016,Manual,41515,Diesel,126,56.5,2.0,17568
 Kuga,2018,Semi-Auto,10309,Diesel,144,54.5,2.0,32142
 Focus,2016,Manual,14036,Diesel,1,74.9,1.5,11949
 Mondeo,2016,Automatic,13871,Electric,0,66.0,2.0,16500
 Fiesta,2017,Manual,31677,Petrol,124,60.9,1.0,11731
 Kuga,2015,Semi-Auto,28966,Diesel,145,48.3,2.0,17743
 Kuga,2017,Manual,13627,Diesel,126,60.8,1.5,14010
 Fiesta,2016,Manual,22135,Petrol,31,57.6,1.0,8178
 C-MAX,2017,Manual,19482,Diesel,153,60.8,1.0,9396
 Kuga,2014,Manual,31510,Diesel,125,54.3,2.0,15475
 Kuga,2017,Semi-Auto,9607,Diesel,145,46.0,2.0,20303
 Edge,2017,Semi-Auto,11442,Diesel,145,51.4,2.0,19372
 S-MAX,2013,Manual,59234,Diesel,26,37.4,2.0,2841
 Kuga,2018,Automatic,20428,Petrol,150,41.3,1.5,14511
 Escort,2003,Manual,22683,Petrol,146,35.0,1.6,15011
 Fiesta,2019,Manual,12633,Petrol,145,48.6,1.0,9487
 Kuga,2014,Automatic,24363,Diesel,0,67.3,2.0,12097
 Puma,2019,Semi-Auto,1687,Petrol,145,52.7,1.0,25955
 Focus,2018,Manual,2758,Petrol,145,64.7,1.0,18756
 Kuga,2019,Semi-Auto,9293,Petrol,146,56.8,1.6,24649
 Puma,2018,Manual,991,Petrol,144,53.2,1.0,26981
 Fiesta,2017,Manual,10840,Petrol,145,67.5,1.0,9191
 Kuga,2010,Automatic,132378,Petrol,252,43.4,2.0,495
 Focus,2019,Manual,11825,Petrol,145,58.0,1.2,16871
 Galaxy,2017,Semi-Auto,20060,Diesel,146,54.3,2.0,14652
 Mondeo,2018,Manual,2141,Diesel,145,56.1,2.0,15942
 Ka+,2017,Manual,7822,Petrol,150,59.6,1.5,14899
 EcoSport,2018,Manual,19493,Petrol,21,68.4,1.5,6073
 KA,2015,Manual,29968,Petrol,30,57.1,1.2,4427
 Fiesta,2013,Semi-Auto,15763,Petrol,145,47.7,1.6,7516
 Mondeo,2014,Manual,52468,Diesel,145,64.7,2.0,7348
 Kuga,2017,Semi-Auto,10983,Diesel,144,32.4,2.0,16266
 Ka+,2016,Manual,11015,Petrol,146,46.5,1.2,6793
 C-MAX,2015,Automatic,89645,Diesel,0,65.5,2.0,7727
 Mustang,2018,Semi-Auto,1791,Diesel,145,38.2,2.0,29912
 Mondeo,2016,Manual,30533,Diesel,127,58.4,2.0,14727
 C-MAX,2015,Manual,35784,Diesel,2,77.6,1.5,7526
 S-MAX,2017,Automatic,28001,Diesel,124,54.8,2.0,18665
 Fiesta,2018,Manual,10659,Petrol,19,66.0,1.0,8608
 S-MAX,2017,Semi-Auto,29386,Diesel,146,43.9,1.5,14602
 EcoSport,2017,Automatic,22112,Diesel,144,54.8,1.5,15351
 Mondeo,2016,Automatic,10021,Hybrid,123,59.5,2.0,15525
 Kuga,2018,Automatic,17197,Diesel,150,65.1,1.5,12076
 Ka+,2018,Manual,7225,Petrol,145,57.8,1.2,6656
 Puma,2019,Semi-Auto,3276,Petrol,144,53.1,1.0,11437
 Kuga,2017,Semi-Auto,15593,Diesel,145,55.7,2.0,14177
 Tourneo Custom,2019,Manual,11085,Diesel,146,57.3,2.0,18072
 Kuga,2017,Automatic,50228,Diesel,125,55.3,2.0,14579
 Kuga,2017,Manual,12860,Diesel,145,59.4,2.0,7319
 Tourneo Custom,2013,Manual,48225,Diesel,145,36.0,2.0,6099
 EcoSport,2019,Manual,8187,Petrol,145,61.1,1.0,16595
 Galaxy,2016,Automatic,32384,Diesel,125,57.5,2.0,11759
 Fiesta,2016,Manual,16736,Diesel,31,72.2,2.0,7448
 Focus,2017,Manual,20532,Petrol,145,64.6,1.0,14777
 Focus,2019,Manual,32599,Diesel,146,62.9,1.5,16194
 S-MAX,2016,Manual,21881,Diesel,125,64.5,2.0,16673
 EcoSport,2017,Automatic,10790,Petrol,157,40.6,1.5,10816
 Mustang,2018,Semi-Auto,1254,Petrol,145,37.9,1.0,25112
 Kuga,2017,Manual,42986,Diesel,0,81.8,1.5,8256
 Fusion,2019,Manual,5248,Petrol,155,39.1,1.5,3192
 Mondeo,2015,Automatic,22647,Other,2,68.1,2.0,12661
 Kuga,2018,Automatic,27267,Petrol,145,61.1,1.0,16075
 Focus,2018,Automatic,10934,Petrol,243,35.5,1.5,15886
 Focus,2015,Manual,21685,Diesel,1,64.9,1.5,12672
 KA,2016,Manual,27138,Petrol,126,56.6,1.2,10395
 Focus,2018,Automatic,9585,Petrol,145,58.6,1.0,20190
 Fiesta,2018,Automatic,9263,Petrol,145,59.5,1.0,10869
 Fiesta,2013,Manual,18768,Petrol,146,47.1,1.6,6537
 Focus,2019,Automatic,2942,Petrol,145,59.3,2.3,18808
 Fiesta,2018,Manual,4693,Petrol,145,65.8,1.0,11544
 Fiesta,2018,Manual,15121,Petrol,145,64.1,1.0,9773
 Fiesta,2015,Automatic,34251,Petrol,2,67.2,1.6,8953
 S-MAX,2019,Manual,1879,Petrol,148,49.0,1.6,16319
 Kuga,2018,Semi-Auto,29148,Diesel,144,54.9,2.0,22391
 Kuga,2017,Manual,12860,Diesel,0,66.8,1.5,12974
 C-MAX,2017,Manual,17899,Petrol,2,55.2,1.0,6971
 Fiesta,2019,Manual,20525,Petrol,146,46.7,1.2,9925
 Focus,2016,Manual,34010,Diesel,152,58.6,2.0,7632
 Focus,2020,Semi-Auto,5260,Petrol,145,49.0,1.1,9366
 Focus,2017,Automatic,3376,Petrol,155,50.3,1.0,8910
 B-MAX,2019,Manual,7518,Petrol,145,56.1,1.0,8120
 Focus,2019,Automatic,18746,Petrol,145,51.5,1.0,18283
 Fiesta,2018,Manual,6259,Petrol,145,58.4,1.0,10038
 Focus,2017,Automatic,25200,Petrol,148,61.4,1.0,9212
 Focus,2016,Manual,28483,Diesel,1,74.5,2.0,18056
 Kuga,2018,Manual,10729,Petrol,149,54.6,1.2,9262
 Focus,2018,Manual,3330,Petrol,0,66.1,1.0,10805
 Ka+,2016,Manual,8490,Petrol,32,46.8,1.2,6168
 Fiesta,2015,Manual,38241,Petrol,22,65.4,1.0,8227
 KA,2018,Manual,28949,Petrol,29,58.9,1.2,13794
 EcoSport,2017,Manual,19845,Petrol,153,59.7,1.0,11800
 EcoSport,2018,Automatic,24228,Petrol,0,52.0,1.5,10563
 EcoSport,2017,Automatic,15117,Petrol,145,52.6,1.5,15001
 Kuga,2017,Semi-Auto,28531,Hybrid,151,48.3,2.0,15762
 Kuga,2014,Semi-Auto,121510,Diesel,248,41.3,2.0,13824
 Fiesta,2018,Manual,23301,Petrol,30,64.1,1.1,7241
 Grand Tourneo Connect,2015,Manual,21614,Diesel,1,75.5,1.5,8310
 Mondeo,2015,Automatic,7954,Hybrid,0,67.8,2.0,14381
 Edge,2019,Semi-Auto,8490,Diesel,146,39.2,2.0,27536
 S-MAX,2016,Automatic,33821,Diesel,126,55.7,2.0,16450
 Galaxy,2017,Semi-Auto,21794,Diesel,126,51.9,2.0,15123
 Galaxy,2018,Automatic,52076,Diesel,125,54.1,2.0,13812
 Fiesta,2018,Manual,29301,Petrol,28,65.4,1.1,6908
 Kuga,2017,Semi-Auto,18680,Diesel,154,42.5,2.0,15306
 C-MAX,2018,Manual,3885,Petrol,151,46.0,1.5,12986
 Kuga,2017,Manual,23236,Diesel,144,53.9,1.5,16691
 Mondeo,2015,Automatic,23442,Hybrid,0,68.3,2.0,19324
 S-MAX,2016,Semi-Auto,22641,Diesel,127,57.0,2.0,14894
 Fusion,2001,Manual,156714,Petrol,209,40.1,1.5,495
 Mondeo,2018,Semi-Auto,21810,Diesel,146,51.0,2.0,16491
 Kuga,2018,Manual,26579,Diesel,144,64.7,1.5,16857
 Mustang,2019,Automatic,8472,Petrol,146,41.7,1.5,14007
 Edge,2018,Semi-Auto,37650,Diesel,146,48.7,2.0,28995
 S-MAX,2018,Automatic,43722,Diesel,124,55.0,2.0,15784
 KA,2016,Manual,37639,Petrol,29,56.9,1.2,4004
 Kuga,2018,Semi-Auto,24951,Diesel,146,53.3,2.0,15908
 Kuga,2019,Manual,9863,Petrol,145,59.7,1.5,21171
 Tourneo Custom,2019,Semi-Auto,290,Diesel,144,22.5,2.0,30946
 Kuga,2017,Semi-Auto,7921,Diesel,207,47.2,2.0,17593
 B-MAX,2015,Manual,63817,Petrol,146,60.4,1.6,6205
 Edge,2018,Semi-Auto,24015,Diesel,145,48.1,2.0,37285
 Mustang,2021,Semi-Auto,3691,Petrol,145,33.2,2.8,36063
 Fiesta,2018,Manual,14586,Petrol,145,65.8,1.2,7275
 Puma,2021,Semi-Auto,65,Petrol,143,52.4,1.0,18036
 Kuga,2018,Manual,20224,Diesel,145,47.0,2.0,15217
 KA,2017,Manual,22218,Petrol,30,57.4,1.2,4245
 Mondeo,2016,Automatic,34665,Electric,3,67.6,2.0,12323
 Fiesta,2016,Manual,11947,Petrol,145,63.0,1.2,9576
 S-MAX,2016,Automatic,70917,Diesel,124,55.8,2.0,8630
 Kuga,2017,Manual,66740,Diesel,149,83.8,2.0,15029
 Galaxy,2016,Automatic,119700,Diesel,125,54.1,2.0,12782
 Mondeo,2017,Manual,71788,Diesel,23,58.0,2.0,7010
 Fusion,2003,Manual,58520,Petrol,272,33.4,1.5,495
 Mondeo,2017,Manual,16313,Diesel,145,63.8,2.0,16004
 Mondeo,2015,Automatic,22940,Other,0,66.7,2.0,14377
 Kuga,2010,Manual,59436,Petrol,152,44.4,1.6,2534
 EcoSport,2019,Automatic,18992,Petrol,154,56.2,1.0,12290
 Kuga,2018,Semi-Auto,19973,Diesel,145,54.9,1.5,17434
 B-MAX,2016,Manual,26536,Petrol,2,64.1,1.0,7488
 C-MAX,2013,Manual,35872,Petrol,31,58.7,1.2,4999
 Focus,2016,Manual,24702,Petrol,28,52.5,1.0,12715
 C-MAX,2014,Manual,37127,Petrol,160,50.7,1.6,15189
 Kuga,2017,Manual,27591,Diesel,145,54.3,2.0,14992
 C-MAX,2015,Manual,41279,Diesel,19,68.3,1.5,6461
 Mondeo,2016,Automatic,71808,Diesel,1,79.6,1.5,12114
 B-MAX,2014,Manual,82367,Petrol,205,37.0,1.6,6515
 Fiesta,2016,Manual,28178,Petrol,29,67.1,1.0,7272
 Fiesta,2015,Manual,24967,Petrol,0,65.9,1.0,9504
 Grand C-MAX,2015,Manual,27137,Diesel,27,66.9,1.5,9257
 Mondeo,2015,Automatic,6846,Hybrid,141,64.5,2.0,21711
 Mondeo,2017,Automatic,9306,Hybrid,146,44.5,2.0,17743
 Grand C-MAX,2016,Manual,45326,Diesel,31,64.5,1.5,11990
 Focus,2018,Manual,6169,Diesel,145,74.1,1.5,9811
 Focus,2016,Manual,18214,Diesel,0,73.9,1.5,15142
 C-MAX,2015,Manual,68667,Diesel,19,68.0,1.5,9073
 Tourneo Connect,2014,Manual,21736,Diesel,21,58.2,1.5,11831
 Kuga,2018,Automatic,10494,Diesel,145,55.0,2.0,16652
 Kuga,2018,Semi-Auto,34572,Diesel,145,56.7,2.0,15786
 Mondeo,2015,Automatic,44596,Diesel,125,61.3,2.0,16623
 Kuga,2017,Automatic,12013,Diesel,243,40.2,1.5,16451
 Focus,2017,Automatic,13850,Petrol,154,49.3,1.5,11965
 Streetka,2016,Automatic,53272,Petrol,270,56.7,1.6,10386
 Grand C-MAX,2017,Automatic,29835,Diesel,155,57.7,1.5,19217
 C-MAX,2019,Manual,15139,Petrol,145,57.2,1.1,16362
 Edge,2014,Semi-Auto,35844,Diesel,155,40.7,2.0,27214
 Fiesta,2015,Manual,26540,Petrol,31,64.3,1.6,7197
 S-MAX,2013,Semi-Auto,24235,Diesel,258,40.9,2.0,13026
